vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_location_id,dropoff_location_id,fare_amount
1,2019-02-07 15:48:06,2019-02-07 16:00:40,2,234,211,9.0
2,2019-02-11 15:19:56,2019-02-11 15:40:10,1,161,249,14.0
2,2019-02-15 20:03:53,2019-02-15 20:08:34,1,237,161,5.0
2,2019-02-03 15:16:04,2019-02-03 15:21:49,1,100,48,5.5
2,2019-02-15 09:23:09,2019-02-15 09:42:51,6,114,230,13.5
2,2019-02-26 17:28:54,2019-02-26 17:38:20,2,43,141,7.5
1,2019-02-11 18:53:39,2019-02-11 19:00:34,1,161,170,6.0
2,2019-02-09 17:50:48,2019-02-09 18:15:16,1,186,144,16.0
1,2019-02-06 16:05:00,2019-02-06 16:13:23,1,163,142,7.0
1,2019-02-08 22:11:08,2019-02-08 22:16:55,1,163,143,6.5
2,2019-02-09 18:01:33,2019-02-09 18:23:20,1,234,232,15.0
2,2019-02-18 01:10:21,2019-02-18 01:11:33,1,50,48,3.0
2,2019-02-11 18:46:33,2019-02-11 18:54:14,1,237,75,7.5
2,2019-02-05 16:05:23,2019-02-05 16:12:43,2,237,236,7.0
1,2019-02-11 06:54:30,2019-02-11 06:57:48,0,186,230,5.0
2,2019-02-02 11:31:12,2019-02-02 11:39:10,2,142,237,7.5
1,2019-02-22 20:50:14,2019-02-22 20:53:28,1,231,13,4.5
2,2019-02-23 00:39:33,2019-02-23 00:44:50,3,4,232,6.5
2,2019-02-24 16:11:25,2019-02-24 16:17:39,1,151,142,7.0
2,2019-02-04 08:33:13,2019-02-04 09:06:28,1,138,162,30.5
2,2019-02-17 14:25:03,2019-02-17 14:45:34,2,164,75,16.0
2,2019-02-12 17:12:58,2019-02-12 17:21:03,1,230,162,6.5
1,2019-02-12 22:08:16,2019-02-12 22:25:18,1,231,141,23.5
1,2019-02-21 15:33:31,2019-02-21 15:41:59,2,140,236,7.0
1,2019-02-26 09:31:15,2019-02-26 09:55:31,0,90,231,15.5
2,2019-02-26 18:07:35,2019-02-26 18:14:54,2,142,143,7.0
2,2019-02-20 00:06:21,2019-02-20 00:12:21,2,41,151,6.5
2,2019-02-03 12:56:50,2019-02-03 13:16:37,1,138,244,29.0
2,2019-02-17 21:30:06,2019-02-17 21:42:28,4,107,249,9.5
1,2019-02-18 19:20:04,2019-02-18 19:22:30,1,158,158,3.5
2,2019-02-11 11:14:16,2019-02-11 11:26:03,2,186,90,6.5
1,2019-02-07 20:45:01,2019-02-07 20:48:48,1,238,151,5.0
2,2019-02-18 08:28:36,2019-02-18 08:38:25,1,186,211,9.5
2,2019-02-07 20:04:40,2019-02-07 20:21:35,1,229,164,11.5
1,2019-02-15 15:47:01,2019-02-15 15:54:59,1,162,237,7.0
1,2019-02-10 01:23:08,2019-02-10 01:28:52,1,231,249,6.5
2,2019-02-26 12:24:44,2019-02-26 12:32:55,5,234,170,7.0
1,2019-02-07 22:05:16,2019-02-07 22:10:40,1,170,79,6.5
2,2019-02-13 09:04:08,2019-02-13 09:10:30,1,237,162,6.0
2,2019-02-03 04:04:20,2019-02-03 04:37:26,6,237,181,32.5
1,2019-02-06 00:06:29,2019-02-06 00:08:07,1,68,68,4.0
1,2019-02-21 13:13:43,2019-02-21 13:26:35,1,237,229,9.5
1,2019-02-22 06:51:39,2019-02-22 06:53:19,1,48,230,4.0
1,2019-02-16 07:46:27,2019-02-16 07:51:16,1,166,166,5.5
2,2019-02-16 07:57:57,2019-02-16 08:14:25,1,231,163,16.5
1,2019-02-08 12:16:31,2019-02-08 12:30:06,2,138,226,15.0
2,2019-02-26 21:33:42,2019-02-26 21:43:31,1,237,107,8.5
2,2019-02-05 23:36:53,2019-02-05 23:54:34,1,234,244,25.0
1,2019-02-19 17:01:46,2019-02-19 17:08:55,3,163,141,6.5
2,2019-02-08 20:13:05,2019-02-08 20:55:47,1,43,189,38.0
2,2019-02-02 08:33:45,2019-02-02 08:43:42,1,142,263,9.5
2,2019-02-26 09:25:39,2019-02-26 09:28:05,6,233,233,3.5
2,2019-02-17 18:51:29,2019-02-17 19:35:49,1,132,48,52.0
2,2019-02-22 15:39:30,2019-02-22 15:56:38,1,162,186,11.5
2,2019-02-25 16:58:40,2019-02-25 17:08:31,1,48,170,8.0
1,2019-02-23 19:05:49,2019-02-23 19:20:36,1,48,237,11.0
2,2019-02-01 07:14:06,2019-02-01 07:36:11,1,45,125,14.0
2,2019-02-09 22:34:36,2019-02-09 22:42:31,1,163,239,8.0
2,2019-02-02 12:30:09,2019-02-02 12:35:09,1,113,144,5.5
1,2019-02-17 16:32:51,2019-02-17 16:45:55,1,236,143,11.5
1,2019-02-16 00:22:45,2019-02-16 00:29:39,1,229,237,6.5
2,2019-02-01 18:21:22,2019-02-01 18:36:34,5,244,151,17.0
2,2019-02-19 20:20:31,2019-02-19 20:36:13,1,140,186,12.5
1,2019-02-05 08:34:20,2019-02-05 08:41:12,1,158,113,6.0
1,2019-02-20 07:35:16,2019-02-20 07:52:38,1,166,236,13.0
2,2019-02-03 11:06:45,2019-02-03 11:25:42,1,113,255,17.0
2,2019-02-03 18:22:16,2019-02-03 18:35:43,3,231,68,10.5
1,2019-02-19 13:02:19,2019-02-19 13:08:05,1,229,237,6.0
2,2019-02-15 16:56:31,2019-02-15 17:01:45,1,234,234,5.5
2,2019-02-22 09:18:11,2019-02-22 09:36:26,1,152,75,13.0
2,2019-02-14 23:59:51,2019-02-15 00:06:07,5,148,107,6.5
2,2019-02-05 12:31:58,2019-02-05 12:44:17,1,231,88,10.5
2,2019-02-24 11:13:35,2019-02-24 11:34:54,1,186,166,20.0
2,2019-02-04 22:02:19,2019-02-04 22:10:00,1,161,236,8.0
2,2019-02-18 19:43:48,2019-02-18 19:48:19,5,164,170,5.0
2,2019-02-06 14:52:55,2019-02-06 15:34:15,3,138,186,39.5
2,2019-02-18 15:53:18,2019-02-18 16:00:20,1,161,141,6.5
2,2019-02-04 10:03:38,2019-02-04 10:18:12,1,232,25,15.5
1,2019-02-21 05:59:03,2019-02-21 06:03:57,0,100,164,5.5
1,2019-02-08 19:24:26,2019-02-08 19:33:30,2,125,158,7.5
2,2019-02-21 06:10:36,2019-02-21 06:25:30,1,230,142,15.0
2,2019-02-16 02:40:32,2019-02-16 02:55:51,1,79,256,13.5
1,2019-02-08 18:25:31,2019-02-08 18:38:33,1,237,262,10.0
1,2019-02-07 07:25:19,2019-02-07 07:30:34,1,264,264,5.5
1,2019-02-18 21:06:33,2019-02-18 21:19:09,1,211,162,12.0
1,2019-02-25 07:41:28,2019-02-25 07:50:17,2,140,161,8.5
1,2019-02-15 16:15:40,2019-02-15 16:34:11,2,230,113,13.5
2,2019-02-07 20:40:28,2019-02-07 20:49:34,1,137,141,8.5
1,2019-02-17 17:36:31,2019-02-17 17:36:31,1,230,264,63.0
1,2019-02-28 11:39:02,2019-02-28 11:45:33,2,91,91,7.0
1,2019-02-10 15:45:57,2019-02-10 15:50:10,3,237,237,5.5
2,2019-02-14 09:15:25,2019-02-14 09:26:38,1,48,238,12.5
1,2019-02-05 11:03:28,2019-02-05 11:18:00,1,142,48,10.5
2,2019-02-01 16:03:57,2019-02-01 16:21:12,1,90,114,12.0
1,2019-02-08 12:44:22,2019-02-08 12:50:18,1,142,239,6.0
1,2019-02-05 21:04:16,2019-02-05 21:12:56,1,238,41,8.0
2,2019-02-20 18:25:30,2019-02-20 19:06:06,1,132,41,52.0
2,2019-02-01 21:35:07,2019-02-01 21:39:15,5,233,141,5.0
1,2019-02-26 20:09:51,2019-02-26 20:18:22,1,166,238,7.5
2,2019-02-15 22:19:28,2019-02-15 22:43:40,1,158,75,24.0
2,2019-02-09 21:45:03,2019-02-09 22:08:24,1,170,249,15.0
2,2019-02-01 22:03:47,2019-02-01 22:07:41,0,230,48,4.5
